,RP_5,RP_10,RP_25,RP_100,RP_2,RP_50
9024000,0.0,1.0,0.0,0.0,3.0,0.0
9024004,0.0,1.0,0.0,0.0,5.0,0.0
9024009,0.0,1.0,0.0,0.0,5.0,0.0
9024013,0.0,0.0,0.0,0.0,5.0,0.0
9024016,2.0,2.0,0.0,0.0,4.0,0.0
9024017,1.0,2.0,0.0,0.0,4.0,0.0
9024043,4.0,0.0,1.0,0.0,2.0,0.0
9024050,2.0,2.0,0.0,1.0,2.0,0.0
9024067,0.0,0.0,1.0,0.0,7.0,0.0
9024070,1.0,2.0,0.0,1.0,6.0,0.0
9024076,2.0,1.0,0.0,1.0,6.0,0.0
9024083,1.0,0.0,0.0,1.0,5.0,0.0
9024084,2.0,3.0,0.0,1.0,7.0,0.0
9024085,2.0,1.0,2.0,1.0,10.0,0.0
9024091,0.0,1.0,0.0,0.0,2.0,0.0
9024092,0.0,0.0,0.0,4.0,0.0,2.0
9024118,4.0,0.0,0.0,1.0,7.0,0.0
9024121,2.0,0.0,0.0,0.0,1.0,0.0
9024126,3.0,3.0,2.0,2.0,14.0,0.0
9024135,1.0,2.0,0.0,0.0,13.0,0.0
9024139,0.0,0.0,0.0,0.0,0.0,0.0
9024140,0.0,0.0,0.0,0.0,0.0,0.0
9024143,1.0,1.0,0.0,2.0,3.0,1.0
9024146,3.0,0.0,0.0,0.0,6.0,0.0
9024154,1.0,3.0,0.0,0.0,4.0,0.0
9024157,2.0,0.0,1.0,0.0,3.0,0.0
9024182,0.0,1.0,0.0,0.0,3.0,0.0
9024183,3.0,2.0,0.0,0.0,2.0,0.0
9024186,0.0,0.0,0.0,0.0,2.0,0.0
9024187,2.0,0.0,0.0,0.0,6.0,1.0
9024194,3.0,2.0,0.0,0.0,12.0,0.0
9024195,8.0,1.0,1.0,0.0,5.0,0.0
9024232,0.0,0.0,0.0,1.0,0.0,0.0
9024233,3.0,1.0,0.0,1.0,9.0,1.0
9024234,0.0,2.0,0.0,0.0,5.0,0.0
9024236,0.0,2.0,0.0,0.0,4.0,0.0
9024248,1.0,0.0,0.0,0.0,16.0,0.0
9024254,6.0,2.0,1.0,1.0,6.0,1.0
9024286,6.0,2.0,0.0,0.0,6.0,2.0
9024287,0.0,5.0,6.0,1.0,4.0,2.0
9024292,0.0,1.0,0.0,3.0,4.0,0.0
9024314,2.0,0.0,0.0,2.0,7.0,0.0
9024323,2.0,1.0,0.0,0.0,8.0,0.0
9024326,0.0,1.0,0.0,0.0,2.0,0.0
9024328,5.0,2.0,1.0,0.0,7.0,1.0
9024329,0.0,0.0,0.0,0.0,0.0,0.0
9024335,0.0,2.0,1.0,2.0,9.0,0.0
9024336,0.0,2.0,0.0,0.0,6.0,0.0
9024346,0.0,0.0,0.0,0.0,2.0,0.0
9024347,0.0,0.0,0.0,0.0,6.0,0.0
9024352,0.0,0.0,0.0,2.0,0.0,0.0
9024354,1.0,2.0,0.0,0.0,7.0,0.0
9024380,1.0,0.0,0.0,0.0,24.0,0.0
9024385,0.0,0.0,0.0,0.0,5.0,0.0
9024386,0.0,0.0,0.0,0.0,4.0,0.0
9024410,1.0,1.0,0.0,0.0,2.0,0.0
9024412,0.0,1.0,0.0,0.0,5.0,0.0
9024438,0.0,0.0,0.0,1.0,6.0,0.0
9024466,0.0,1.0,1.0,0.0,7.0,0.0
9024467,1.0,1.0,0.0,0.0,7.0,0.0
9024473,1.0,0.0,0.0,0.0,2.0,0.0
9024493,0.0,0.0,0.0,1.0,7.0,0.0
9024495,0.0,0.0,0.0,0.0,1.0,0.0
9024496,2.0,5.0,3.0,0.0,2.0,0.0
9024497,1.0,0.0,2.0,0.0,7.0,0.0
9024502,2.0,0.0,1.0,0.0,5.0,1.0
9024505,2.0,0.0,1.0,0.0,2.0,0.0
9024506,0.0,0.0,0.0,0.0,1.0,0.0
9024507,1.0,0.0,0.0,0.0,4.0,0.0
9024515,4.0,2.0,0.0,1.0,7.0,1.0
9024520,1.0,2.0,0.0,2.0,3.0,0.0
9024534,1.0,2.0,1.0,1.0,6.0,0.0
9024538,0.0,0.0,0.0,1.0,0.0,0.0
9024554,3.0,3.0,0.0,1.0,8.0,3.0
9024555,1.0,0.0,0.0,0.0,7.0,0.0
