country,comid,latitude,longitude,alert
col,9013460,3.639580875,-70.39200771,R0
col,9013461,3.597142506,-70.34632912,R0
col,9013815,3.464916984,-70.56902606,R0
col,9014011,3.404746974,-70.56534342,R0
col,9013608,3.558552974,-70.56105043,R0
col,9013914,3.442602662,-70.52961883,R0
col,9013753,3.506137718,-70.49308651,R0
col,9013624,3.534374341,-70.47659745,R0
col,9013739,3.51278492,-70.43697867,R0
col,9013609,3.558496559,-70.42646799,R0
col,9014028,3.407036421,-70.89957457,R0
col,9013943,3.417343628,-70.93538848,R0
col,9013927,3.421067917,-70.95251896,R0
col,9013907,3.428718531,-70.91839179,R0
col,9014002,3.424627695,-70.69716905,R0
col,9014094,3.3871866,-70.63583024,R0
col,9013327,3.693059901,-71.06138901,R0
col,9013351,3.639532539,-70.92866894,R0
col,9013352,3.673838791,-70.9077437,R0
col,9013433,3.615582016,-71.0503337,R0
col,9013694,3.521009094,-70.94749584,R0
col,9013821,3.462157753,-70.7029749,R0
col,9013788,3.474802877,-70.65396758,R0
col,9013757,3.503549327,-70.75328519,R0
col,9013472,3.591187189,-70.65355648,R0
col,9013500,3.599080979,-70.78015824,R0
col,9013443,3.61149477,-70.64726403,R0
col,9013446,3.645373243,-70.69302354,R0
col,9013873,3.47101411,-70.86518511,R0
col,9014976,3.030917131,-70.59362193,R0
col,9015014,3.042400922,-70.48289467,R0
col,9014933,3.044795947,-70.60266354,R0
col,9014934,3.06097975,-70.55545681,R0
col,9014851,3.077395051,-70.50582602,R0
col,9014838,3.094766746,-70.39817805,R0
col,9014411,3.22930479,-70.6927387,R0
col,9014641,3.183195558,-70.62679713,R0
col,9014687,3.13120178,-70.63067932,R0
col,9014837,3.111134077,-70.5336708,R0
col,9014459,3.204341553,-70.79770494,R0
col,9014435,3.207291671,-70.90020834,R0
col,9014431,3.224873468,-70.95663825,R0
col,9014375,3.241270852,-71.0320714,R0
col,9014357,3.341580235,-71.0713884,R0
col,9014364,3.279058718,-71.06396272,R0
col,9013904,3.477234026,-69.88125342,R0
col,9013565,3.565514693,-69.84739431,R0
col,9013755,3.500433474,-69.84647929,R0
col,9013676,3.556606971,-69.74113281,R0
col,9014805,3.095587896,-70.29052801,R0
col,9014737,3.1481372,-70.26104061,R0
col,9014505,3.188172745,-70.28574753,R0
col,9014461,3.248616554,-70.38632313,R0
col,9014348,3.275528862,-70.26812451,R0
col,9014489,3.188053454,-70.2362736,R0
col,9014529,3.18592522,-70.20757794,R0
col,9014517,3.21150729,-70.15279609,R0
col,9014047,3.375484037,-69.99692192,R0
